City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,American Indian and Alaska Native,Asian,Black or African-American,Hispanic or Latino,White
Richmond,Virginia,33.6,104793.0,115496.0,220289,12538.0,15741.0,2.29,VA,4902,6626,109722,14259,104568
Bayonne,New Jersey,39.7,32705.0,33598.0,66303,2225.0,21899.0,2.62,NJ,0,7171,7581,19525,41431
Santa Barbara,California,37.8,45068.0,46784.0,91852,4518.0,19441.0,2.51,CA,1560,4964,2013,31102,73659
Yuba City,California,34.5,33654.0,33290.0,66944,4706.0,18032.0,2.9,CA,2163,15065,1912,20890,48746
Palo Alto,California,40.2,31451.0,35397.0,66848,2025.0,23348.0,2.55,CA,556,24055,1049,3496,43019
Pueblo,Colorado,37.6,55635.0,53784.0,109419,7989.0,3578.0,2.44,CO,7306,2468,4107,57579,86097
The Villages,Florida,70.5,,,72590,15231.0,4034.0,,FL,0,0,331,1066,72211
Fort Wayne,Indiana,34.7,124815.0,133329.0,258144,13539.0,19146.0,2.45,IN,3577,13596,46319,21234,204114
Santa Ana,California,30.8,167503.0,167920.0,335423,4735.0,152999.0,4.58,CA,4838,37651,5813,262436,163096
Bismarck,North Dakota,38.0,34675.0,35565.0,70240,4145.0,2064.0,2.11,ND,4040,930,1700,1667,64719
Phoenix,Arizona,33.8,786833.0,776168.0,1563001,72388.0,300702.0,2.89,AZ,41748,66403,132939,669914,1161455
Daly City,California,39.7,53817.0,52757.0,106574,3782.0,56640.0,3.26,CA,893,61918,5401,24316,25522
South San Francisco,California,39.4,34177.0,33094.0,67271,1839.0,27528.0,3.33,CA,535,23008,2327,29173,28135
Bloomington,Indiana,23.5,40588.0,43227.0,83815,2368.0,10033.0,2.33,IN,912,9801,5133,3643,71200
Independence,Missouri,38.6,54348.0,62907.0,117255,10220.0,4911.0,2.33,MO,1883,558,10394,12236,98940
Kennewick,Washington,32.0,38492.0,40411.0,78903,5158.0,8376.0,2.78,WA,1101,4252,2887,19395,65228
Flagstaff,Arizona,23.9,33224.0,37093.0,70317,3667.0,4262.0,2.55,AZ,5117,2646,3144,13606,58696
Brandon,Florida,36.1,55679.0,58289.0,113968,9417.0,16390.0,2.64,FL,1921,9440,23475,26224,80811
Kansas City,Kansas,33.4,74606.0,76655.0,151261,8139.0,25507.0,2.71,KS,2749,7301,40177,44342,96113
Waukegan,Illinois,32.3,45514.0,42833.0,88347,3404.0,30997.0,2.92,IL,677,4933,11697,54214,65629
Fort Collins,Colorado,29.6,80893.0,80288.0,161181,8425.0,9704.0,2.45,CO,3271,7913,3176,15521,150568
Jacksonville,North Carolina,24.2,40015.0,27348.0,67363,8252.0,3732.0,2.51,NC,1741,4204,13253,11947,51245
Cary,North Carolina,39.9,78932.0,81582.0,160514,7426.0,30008.0,2.61,NC,1752,25124,15496,10327,119814
Saint Joseph,Missouri,35.7,37688.0,38408.0,76096,5846.0,3755.0,2.58,MO,1018,1271,6964,5400,68293
Melbourne,Florida,43.4,39180.0,40956.0,80136,8363.0,9685.0,2.37,FL,251,5186,11721,6060,65397
Palm Bay,Florida,40.7,51767.0,56128.0,107895,10942.0,12070.0,2.82,FL,1603,1124,20891,16841,84328
Plantation,Florida,40.6,42881.0,49674.0,92555,4037.0,27902.0,2.73,FL,0,3954,19670,26401,66970
Olathe,Kansas,33.0,65046.0,69270.0,134316,6042.0,11913.0,2.97,KS,1872,6288,9518,16131,120282
Sioux Falls,South Dakota,34.6,86596.0,84934.0,171530,8658.0,12934.0,2.38,SD,4623,4689,10904,9388,149298
Portsmouth,Virginia,33.6,45900.0,50301.0,96201,10261.0,1815.0,2.54,VA,1584,1785,52972,3896,43004
Kansas City,Missouri,35.9,228430.0,246931.0,475361,24710.0,37787.0,2.35,MO,5796,17061,147739,46037,296623
Jackson,Tennessee,35.3,30007.0,36973.0,66980,3529.0,2097.0,2.52,TN,564,1171,30103,3383,36037
Spokane,Washington,36.6,102756.0,110511.0,213267,18044.0,13253.0,2.34,WA,7192,9059,10045,13365,193143
Colorado Springs,Colorado,34.8,225544.0,231018.0,456562,49291.0,35320.0,2.48,CO,11146,22619,38976,78711,374900
McKinney,Texas,35.6,77339.0,85548.0,162887,8082.0,25760.0,2.91,TX,1801,13882,16689,31705,129192
Henderson,Nevada,42.5,139412.0,146246.0,285658,25045.0,35666.0,2.55,NV,3036,24931,18816,47154,234301
Norfolk,Virginia,30.2,128917.0,117476.0,246393,29445.0,16702.0,2.51,VA,3259,11854,107893,18760,127741
Arvada,Colorado,41.0,54870.0,60165.0,115035,8930.0,4921.0,2.49,CO,2370,2922,2985,16419,107639
Hollywood,Florida,41.4,75358.0,74363.0,149721,6056.0,55158.0,2.65,FL,1010,4696,34916,53247,107916
Chesapeake,Virginia,36.7,114964.0,120465.0,235429,29772.0,13966.0,2.73,VA,2087,11354,73850,12959,150414
Columbus,Ohio,32.5,413981.0,435086.0,849067,40238.0,101129.0,2.4,OH,11496,48974,256764,46855,549468
Spring Hill,Florida,45.1,48295.0,54902.0,103197,9737.0,7893.0,2.58,FL,1254,2409,7689,15838,91742
Kenosha,Wisconsin,36.3,49349.0,50507.0,99856,6238.0,7443.0,2.55,WI,1264,2537,11915,18772,84780
Kendall,Florida,40.2,36658.0,39808.0,76466,1678.0,31180.0,2.81,FL,0,3650,2937,47521,70266
Redondo Beach,California,43.0,34855.0,33330.0,68185,3014.0,13536.0,2.34,CA,1007,13118,2234,8858,53811
Walnut Creek,California,47.6,31994.0,36912.0,68906,4977.0,13624.0,2.22,CA,0,10831,1705,5212,57064
Mission,Texas,32.9,40530.0,42777.0,83307,2383.0,22608.0,3.51,TX,0,3075,0,73367,77985
McAllen,Texas,32.3,68332.0,71921.0,140253,4356.0,37691.0,3.19,TX,664,5575,3332,113829,107763
Cheektowaga,New York,40.7,37476.0,38599.0,76075,5408.0,3532.0,2.3,NY,0,1584,10562,1994,63541
Oceanside,California,39.4,87482.0,88232.0,175714,18051.0,37492.0,2.72,CA,2452,20882,11907,62100,137533
Orlando,Florida,33.1,130940.0,139977.0,270917,12782.0,50558.0,2.42,FL,2374,11124,68081,89306,179121
Parma,Ohio,40.8,38425.0,41518.0,79943,5028.0,6909.0,2.42,OH,876,974,2928,5361,76282
Harlingen,Texas,30.1,32404.0,33365.0,65769,2761.0,10391.0,3.0,TX,0,2166,0,51727,61844
Pembroke Pines,Florida,40.3,77050.0,89574.0,166624,6849.0,62210.0,2.94,FL,1076,12910,34507,60519,113624
Alhambra,California,41.0,42184.0,43388.0,85572,1673.0,44441.0,2.89,CA,687,44067,1905,31386,20811
Brentwood,New York,34.2,31395.0,32397.0,63792,1492.0,27058.0,4.98,NY,4242,1647,8619,40111,46347
Riverside,California,31.4,160613.0,161810.0,322423,12373.0,69584.0,3.34,CA,5338,27675,26147,160697,225157
Menifee,California,37.1,42866.0,44297.0,87163,6821.0,12481.0,3.06,CA,1639,7108,7773,29790,62331
Kalamazoo,Michigan,26.4,37175.0,38865.0,76040,3048.0,3482.0,2.36,MI,954,2429,19194,4114,56866
Carson,California,40.4,43790.0,49506.0,93296,4273.0,33860.0,3.7,CA,2119,31706,19947,32938,28801
Ann Arbor,Michigan,28.1,58789.0,58281.0,117070,3614.0,20717.0,2.17,MI,1935,18797,9577,5888,90173
Farmington Hills,Michigan,42.1,37527.0,43805.0,81332,3650.0,18033.0,2.41,MI,313,10759,13483,2052,57815
Missouri City,Texas,37.2,34932.0,36846.0,71778,4274.0,18556.0,3.03,TX,0,17854,28070,10007,20590
Orange,California,35.0,67337.0,73658.0,140995,3993.0,34550.0,3.14,CA,658,22457,2853,46255,100083
Everett,Washington,37.0,56212.0,51800.0,108012,7880.0,19499.0,2.36,WA,3645,9807,8304,15889,88395
Citrus Heights,California,37.8,41982.0,45071.0,87053,6171.0,9466.0,2.49,CA,1514,3615,5979,14661,77525
Gainesville,Florida,26.0,60803.0,69330.0,130133,4788.0,15272.0,2.33,FL,740,11963,32912,12208,87612
Milpitas,California,36.8,40098.0,37519.0,77617,1608.0,39436.0,3.32,CA,599,52617,2914,11815,17127
Tampa,Florida,35.3,175517.0,193511.0,369028,20636.0,58795.0,2.47,FL,2915,15814,92156,95154,257552
Santa Monica,California,40.6,46732.0,46487.0,93219,2008.0,24448.0,2.0,CA,2197,13283,9663,14973,70365
Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,3261.0,2833.0,2.4,WI,876,4202,725,1488,62194
Enterprise,Nevada,34.1,69146.0,66328.0,135474,7526.0,31173.0,2.89,NV,2777,35444,14637,25307,85505
Shawnee,Kansas,40.1,32313.0,32745.0,65058,3575.0,4136.0,2.64,KS,485,3093,7296,4864,55883
North Charleston,South Carolina,30.7,56549.0,55315.0,111864,9651.0,8789.0,2.82,SC,1042,4181,56734,12975,48956
Boynton Beach,Florida,45.8,33701.0,40271.0,73972,4727.0,15431.0,2.45,FL,0,2114,20616,12553,49704
Temple,Texas,33.6,33512.0,38785.0,72297,7333.0,3968.0,2.59,TX,1615,1781,14747,21372,54698
Rockville,Maryland,38.1,31205.0,35793.0,66998,1990.0,25047.0,2.6,MD,594,17370,7533,9197,41692
Cape Coral,Florida,45.0,85626.0,89604.0,175230,14446.0,24185.0,2.85,FL,1040,3314,7311,33016,163396
Manteca,California,35.3,37053.0,38397.0,75450,3936.0,13942.0,3.25,CA,2861,8172,6279,31552,56156
Little Rock,Arkansas,36.6,96997.0,100989.0,197986,12343.0,16640.0,2.36,AR,961,8423,85606,15500,102312
Oxnard,California,31.0,101906.0,105346.0,207252,6367.0,78678.0,4.08,CA,6241,18249,7183,154911,165423
Bk,California,37.0,50405.0,54909.0,105314,4048.0,32435.0,2.52,CA,1639,14636,4729,22089,79582
Evanston,Illinois,36.8,34146.0,41377.0,75523,2058.0,15003.0,2.29,IL,544,8800,11671,9075,54496
Atascocita,Texas,32.8,37424.0,40816.0,78240,4416.0,8657.0,3.03,TX,1024,2441,21491,20441,50630
Surprise,Arizona,39.4,62875.0,65567.0,128442,11109.0,9929.0,2.9,AZ,1883,3153,9079,25366,115419
Dothan,Alabama,38.9,32172.0,35364.0,67536,6334.0,1699.0,2.59,AL,656,1175,23243,1704,43516
Rapid City,South Dakota,39.5,36122.0,37446.0,73568,7429.0,2375.0,2.31,SD,9159,2170,2217,2971,63983
Lee's Summit,Missouri,36.8,48353.0,46715.0,95068,6624.0,3803.0,2.68,MO,1251,3013,7100,4504,82915
Warren,Michigan,43.2,64063.0,71293.0,135356,7806.0,18822.0,2.45,MI,1516,12156,29391,3210,96357
Erie,Pennsylvania,35.3,48618.0,50852.0,99470,7093.0,6275.0,2.31,PA,913,3306,20564,7859,78636
Mountain View,California,33.5,42493.0,37945.0,80438,1376.0,31857.0,2.46,CA,577,23884,1974,16397,51400
West Valley City,Utah,30.7,68235.0,67989.0,136224,4880.0,30712.0,3.81,UT,4851,9550,3222,44080,89145
Hartford,Connecticut,31.0,58042.0,65972.0,124014,3130.0,28467.0,2.59,CT,2451,4105,49939,55959,46529
Fremont,California,38.3,114383.0,117808.0,232191,4629.0,109427.0,3.12,CA,1606,141953,7762,29594,67294
Elgin,Illinois,35.7,54852.0,56224.0,111076,4024.0,30167.0,2.97,IL,789,7606,7528,48221,76126
Greenville,North Carolina,26.2,39897.0,50691.0,90588,4283.0,4183.0,2.4,NC,917,2787,37355,4409,50289
Gastonia,North Carolina,36.9,35527.0,39023.0,74550,3537.0,5715.0,2.67,NC,603,2788,22179,6653,46362
Frisco,Texas,37.2,73989.0,80399.0,154388,6297.0,30913.0,3.05,TX,2947,30341,10821,17093,111477
Oklahoma City,Oklahoma,34.1,309227.0,322036.0,631263,41843.0,80165.0,2.58,OK,41696,33759,111673,117362,462306
Carlsbad,California,42.1,55119.0,58347.0,113466,6031.0,17689.0,2.68,CA,1513,11948,876,12969,98705
Pasadena,California,37.6,67712.0,74534.0,142246,4618.0,40779.0,2.63,CA,2161,22794,15909,52717,76525
Naperville,Illinois,38.5,71365.0,75794.0,147159,4545.0,30399.0,2.76,IL,449,31221,9031,4928,108937
Johnson City,Tennessee,38.2,31019.0,34350.0,65369,5038.0,2878.0,2.18,TN,400,1877,6016,1114,59147
Goodyear,Arizona,38.6,36711.0,42292.0,79003,7650.0,11774.0,2.97,AZ,1301,5701,8678,21603,63493
Wyoming,Michigan,32.8,35967.0,39310.0,75277,3447.0,8612.0,2.65,MI,2444,3227,8839,15325,58989
Reading,Pennsylvania,29.4,43668.0,44205.0,87873,2580.0,17043.0,2.95,PA,9671,903,20821,57032,64401
Rochester Hills,Michigan,41.2,36356.0,37076.0,73432,3053.0,13708.0,2.66,MI,348,8092,3514,3395,62170
Madison,Wisconsin,30.7,122596.0,126360.0,248956,9707.0,30090.0,2.23,WI,2296,23937,20424,19697,204302
Portland,Maine,40.3,31480.0,35392.0,66872,3666.0,9229.0,2.13,ME,662,3696,5750,2031,59722
College Station,Texas,22.9,54125.0,53774.0,107899,2471.0,16145.0,2.52,TX,605,10915,11316,17784,84892
Lewisville,Texas,31.6,52776.0,52032.0,104808,4211.0,24865.0,2.78,TX,1371,12412,16948,31757,70278
Raleigh,North Carolina,32.8,219184.0,232765.0,451949,16747.0,65125.0,2.42,NC,3955,24865,138242,51786,275892
Mount Vernon,New York,38.5,31876.0,36745.0,68621,2064.0,23777.0,2.85,NY,356,1497,49830,9446,13106
Dallas,Texas,32.6,639019.0,661063.0,1300082,41026.0,326825.0,2.59,TX,17510,47099,322570,549966,839169
San Tan Valley,Arizona,31.3,40429.0,42368.0,82797,4300.0,5757.0,3.44,AZ,3941,1378,2027,18733,75429
East Orange,New Jersey,35.5,29995.0,34967.0,64962,1870.0,15164.0,2.85,NJ,535,656,57859,6368,3165
Austin,Texas,32.7,475718.0,456122.0,931840,37414.0,181686.0,2.5,TX,10890,78916,81861,327680,708171
Casas Adobes,Arizona,44.8,30890.0,34375.0,65265,6601.0,7024.0,2.24,AZ,2047,3009,1854,13609,58956
Indianapolis,Indiana,34.1,410615.0,437808.0,848423,42186.0,72456.0,2.53,IN,8656,29307,253932,83426,553665
Renton,Washington,36.3,52779.0,47468.0,100247,5032.0,28962.0,2.57,WA,2338,22550,12265,15392,58251
Odessa,Texas,31.2,61119.0,57861.0,118980,5509.0,15845.0,2.92,TX,1134,2252,7647,63586,106944
Round Rock,Texas,34.9,56646.0,59193.0,115839,6804.0,18237.0,3.13,TX,1551,9685,13636,37151,92278
Santa Fe,New Mexico,44.1,40601.0,43511.0,84112,5083.0,13824.0,2.41,NM,2960,1878,1284,45884,75494
Akron,Ohio,38.1,96886.0,100667.0,197553,12878.0,10024.0,2.24,OH,1845,9033,66551,3684,129192
San Jose,California,36.5,518317.0,508602.0,1026919,27269.0,401493.0,3.13,CA,13776,385198,41721,331232,442798
Saint Paul,Minnesota,31.5,149547.0,151293.0,300840,10548.0,56514.0,2.58,MN,6858,58174,54665,27307,191369
Muncie,Indiana,27.4,32446.0,37255.0,69701,2968.0,1062.0,2.35,IN,203,0,10482,2499,59962
Victorville,California,30.6,60989.0,61247.0,122236,7484.0,21959.0,3.47,CA,5305,7755,26747,60569,86648
Murfreesboro,Tennessee,30.2,60704.0,65417.0,126121,5199.0,8948.0,2.6,TN,1339,7265,22651,8840,97270
Chattanooga,Tennessee,36.6,83640.0,92957.0,176597,10001.0,10599.0,2.4,TN,1092,4602,59918,10918,114140
Fairfield,California,34.7,55550.0,57422.0,112972,8607.0,24503.0,3.14,CA,1016,22428,18274,32976,64106
